Given args
Namespace(coco_annotations='/Users/nils/Studium/master-thesis/repo/tmp/cutsom-coco-data/coco_meta.json', coco_root='/Users/nils/Studium/master-thesis/repo/tmp/cutsom-coco-data', deterministic=True, model='mobilenet', num_epochs=3)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version=None, gcc_version=None, clang_version='12.0.0 (clang-1200.0.32.28)', cmake_version=None, os='macOS 10.15.7 (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='False', cuda_runtime_version=None, nvidia_driver_version=None, nvidia_gpu_models=None, cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchsummary==1.5.1\ntorchvision==0.8.2', conda_packages=None, hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1619263024987902000
START;load_data;epoch-0;batch-0;time.time_ns-1619263024988876000
STOP;load_data;epoch-0;batch-0;time.time_ns-1619263025647273000
START;to_device;epoch-0;batch-0;time.time_ns-1619263025647286000
STOP;to_device;epoch-0;batch-0;time.time_ns-1619263025647298000
START;forward_path;epoch-0;batch-0;time.time_ns-1619263025647300000
STOP;forward_path;epoch-0;batch-0;time.time_ns-1619263029448485000
START;backward_path;epoch-0;batch-0;time.time_ns-1619263029448496000
STOP;backward_path;epoch-0;batch-0;time.time_ns-1619263035993528000
START;load_data;epoch-0;batch-1;time.time_ns-1619263035993540000
STOP;load_data;epoch-0;batch-1;time.time_ns-1619263036639957000
START;to_device;epoch-0;batch-1;time.time_ns-1619263036639972000
STOP;to_device;epoch-0;batch-1;time.time_ns-1619263036639984000
START;forward_path;epoch-0;batch-1;time.time_ns-1619263036639986000
STOP;forward_path;epoch-0;batch-1;time.time_ns-1619263040214145000
START;backward_path;epoch-0;batch-1;time.time_ns-1619263040214157000
STOP;backward_path;epoch-0;batch-1;time.time_ns-1619263045849536000
START;load_data;epoch-0;batch-2;time.time_ns-1619263045849553000
STOP;load_data;epoch-0;batch-2;time.time_ns-1619263046488455000
START;to_device;epoch-0;batch-2;time.time_ns-1619263046488467000
STOP;to_device;epoch-0;batch-2;time.time_ns-1619263046488476000
START;forward_path;epoch-0;batch-2;time.time_ns-1619263046488478000
STOP;forward_path;epoch-0;batch-2;time.time_ns-1619263049976807000
START;backward_path;epoch-0;batch-2;time.time_ns-1619263049976818000
STOP;backward_path;epoch-0;batch-2;time.time_ns-1619263055544802000
START;load_data;epoch-0;batch-3;time.time_ns-1619263055544814000
STOP;load_data;epoch-0;batch-3;time.time_ns-1619263056160863000
START;to_device;epoch-0;batch-3;time.time_ns-1619263056160885000
STOP;to_device;epoch-0;batch-3;time.time_ns-1619263056160901000
START;forward_path;epoch-0;batch-3;time.time_ns-1619263056160904000
STOP;forward_path;epoch-0;batch-3;time.time_ns-1619263059565817000
START;backward_path;epoch-0;batch-3;time.time_ns-1619263059565830000
STOP;backward_path;epoch-0;batch-3;time.time_ns-1619263065377120000
START;load_data;epoch-0;batch-4;time.time_ns-1619263065377134000
STOP;load_data;epoch-0;batch-4;time.time_ns-1619263066000585000
