Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='googlenet', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1623250522922740345
START;load_data;epoch-0;batch-0;time.time_ns-1623250522923510693
START;batch-time;epoch-0;batch-0;time.time_ns-1623250522923513558
STOP;load_data;epoch-0;batch-0;time.time_ns-1623250523488772589
START;to_device;epoch-0;batch-0;time.time_ns-1623250523488799640
STOP;to_device;epoch-0;batch-0;time.time_ns-1623250523492940476
START;forward_path;epoch-0;batch-0;time.time_ns-1623250523492944423
STOP;forward_path;epoch-0;batch-0;time.time_ns-1623250524219608580
START;backward_path;epoch-0;batch-0;time.time_ns-1623250524219620694
STOP;backward_path;epoch-0;batch-0;time.time_ns-1623250524294140122
START;load_data;epoch-0;batch-1;time.time_ns-1623250524294147726
STOP;batch-time;epoch-0;batch-0;time.time_ns-1623250524294149188
START;batch-time;epoch-0;batch-1;time.time_ns-1623250524294150261
STOP;load_data;epoch-0;batch-1;time.time_ns-1623250524850672951
START;to_device;epoch-0;batch-1;time.time_ns-1623250524850691896
STOP;to_device;epoch-0;batch-1;time.time_ns-1623250524854327917
START;forward_path;epoch-0;batch-1;time.time_ns-1623250524854330041
STOP;forward_path;epoch-0;batch-1;time.time_ns-1623250524878523440
START;backward_path;epoch-0;batch-1;time.time_ns-1623250524878528309
STOP;backward_path;epoch-0;batch-1;time.time_ns-1623250524931330463
START;load_data;epoch-0;batch-2;time.time_ns-1623250524931335653
STOP;batch-time;epoch-0;batch-1;time.time_ns-1623250524931337036
START;batch-time;epoch-0;batch-2;time.time_ns-1623250524931338128
STOP;load_data;epoch-0;batch-2;time.time_ns-1623250525454913524
START;to_device;epoch-0;batch-2;time.time_ns-1623250525454925958
STOP;to_device;epoch-0;batch-2;time.time_ns-1623250525458689148
START;forward_path;epoch-0;batch-2;time.time_ns-1623250525458692525
STOP;forward_path;epoch-0;batch-2;time.time_ns-1623250525481740687
START;backward_path;epoch-0;batch-2;time.time_ns-1623250525481744655
STOP;backward_path;epoch-0;batch-2;time.time_ns-1623250525533990566
START;load_data;epoch-0;batch-3;time.time_ns-1623250525533995456
STOP;batch-time;epoch-0;batch-2;time.time_ns-1623250525533996658
START;batch-time;epoch-0;batch-3;time.time_ns-1623250525533997680
STOP;load_data;epoch-0;batch-3;time.time_ns-1623250526065137840
START;to_device;epoch-0;batch-3;time.time_ns-1623250526065150304
STOP;to_device;epoch-0;batch-3;time.time_ns-1623250526068395805
START;forward_path;epoch-0;batch-3;time.time_ns-1623250526068398279
STOP;forward_path;epoch-0;batch-3;time.time_ns-1623250526091432485
START;backward_path;epoch-0;batch-3;time.time_ns-1623250526091436423
STOP;backward_path;epoch-0;batch-3;time.time_ns-1623250526143565053
START;load_data;epoch-0;batch-4;time.time_ns-1623250526143569832
STOP;batch-time;epoch-0;batch-3;time.time_ns-1623250526143572186
START;batch-time;epoch-0;batch-4;time.time_ns-1623250526143573278
STOP;load_data;epoch-0;batch-4;time.time_ns-1623250526669730700
START;to_device;epoch-0;batch-4;time.time_ns-1623250526669743414
STOP;to_device;epoch-0;batch-4;time.time_ns-1623250526673305374
START;forward_path;epoch-0;batch-4;time.time_ns-1623250526673307808
STOP;forward_path;epoch-0;batch-4;time.time_ns-1623250526696334991
START;backward_path;epoch-0;batch-4;time.time_ns-1623250526696338859
STOP;backward_path;epoch-0;batch-4;time.time_ns-1623250526748619406
START;load_data;epoch-0;batch-5;time.time_ns-1623250526748625898
STOP;batch-time;epoch-0;batch-4;time.time_ns-1623250526748627240
START;batch-time;epoch-0;batch-5;time.time_ns-1623250526748628312
STOP;load_data;epoch-0;batch-5;time.time_ns-1623250527263626308
START;to_device;epoch-0;batch-5;time.time_ns-1623250527263640936
STOP;to_device;epoch-0;batch-5;time.time_ns-1623250527267361025
START;forward_path;epoch-0;batch-5;time.time_ns-1623250527267363409
STOP;forward_path;epoch-0;batch-5;time.time_ns-1623250527290385533
START;backward_path;epoch-0;batch-5;time.time_ns-1623250527290389460
STOP;backward_path;epoch-0;batch-5;time.time_ns-1623250527342545681
START;load_data;epoch-0;batch-6;time.time_ns-1623250527342655229
STOP;batch-time;epoch-0;batch-5;time.time_ns-1623250527342656691
START;batch-time;epoch-0;batch-6;time.time_ns-1623250527342657713
STOP;load_data;epoch-0;batch-6;time.time_ns-1623250527875020938
START;to_device;epoch-0;batch-6;time.time_ns-1623250527875035055
STOP;to_device;epoch-0;batch-6;time.time_ns-1623250527878533485
START;forward_path;epoch-0;batch-6;time.time_ns-1623250527878536130
STOP;forward_path;epoch-0;batch-6;time.time_ns-1623250527901762159
START;backward_path;epoch-0;batch-6;time.time_ns-1623250527901766086
STOP;backward_path;epoch-0;batch-6;time.time_ns-1623250527954099173
START;load_data;epoch-0;batch-7;time.time_ns-1623250527954104242
STOP;batch-time;epoch-0;batch-6;time.time_ns-1623250527954105474
START;batch-time;epoch-0;batch-7;time.time_ns-1623250527954208008
STOP;load_data;epoch-0;batch-7;time.time_ns-1623250528465072633
START;to_device;epoch-0;batch-7;time.time_ns-1623250528465085878
STOP;to_device;epoch-0;batch-7;time.time_ns-1623250528468320298
START;forward_path;epoch-0;batch-7;time.time_ns-1623250528468322723
STOP;forward_path;epoch-0;batch-7;time.time_ns-1623250528491352260
START;backward_path;epoch-0;batch-7;time.time_ns-1623250528491356237
STOP;backward_path;epoch-0;batch-7;time.time_ns-1623250528543671790
START;load_data;epoch-0;batch-8;time.time_ns-1623250528543677201
STOP;batch-time;epoch-0;batch-7;time.time_ns-1623250528543678433
START;batch-time;epoch-0;batch-8;time.time_ns-1623250528543679485
STOP;load_data;epoch-0;batch-8;time.time_ns-1623250529090820473
START;to_device;epoch-0;batch-8;time.time_ns-1623250529090832115
STOP;to_device;epoch-0;batch-8;time.time_ns-1623250529094173538
START;forward_path;epoch-0;batch-8;time.time_ns-1623250529094176052
STOP;forward_path;epoch-0;batch-8;time.time_ns-1623250529117239694
START;backward_path;epoch-0;batch-8;time.time_ns-1623250529117243551
STOP;backward_path;epoch-0;batch-8;time.time_ns-1623250529169333758
START;load_data;epoch-0;batch-9;time.time_ns-1623250529169338447
STOP;batch-time;epoch-0;batch-8;time.time_ns-1623250529169339719
START;batch-time;epoch-0;batch-9;time.time_ns-1623250529169340861
STOP;load_data;epoch-0;batch-9;time.time_ns-1623250529695153832
START;to_device;epoch-0;batch-9;time.time_ns-1623250529695166305
STOP;to_device;epoch-0;batch-9;time.time_ns-1623250529698623838
START;forward_path;epoch-0;batch-9;time.time_ns-1623250529698627995
STOP;forward_path;epoch-0;batch-9;time.time_ns-1623250529721672751
START;backward_path;epoch-0;batch-9;time.time_ns-1623250529721676599
STOP;backward_path;epoch-0;batch-9;time.time_ns-1623250529773996790
START;load_data;epoch-0;batch-10;time.time_ns-1623250529774001770
STOP;batch-time;epoch-0;batch-9;time.time_ns-1623250529774003092
START;batch-time;epoch-0;batch-10;time.time_ns-1623250529774004154
STOP;load_data;epoch-0;batch-10;time.time_ns-1623250530287515296
START;to_device;epoch-0;batch-10;time.time_ns-1623250530287528070
STOP;to_device;epoch-0;batch-10;time.time_ns-1623250530290730751
START;forward_path;epoch-0;batch-10;time.time_ns-1623250530290732825
STOP;forward_path;epoch-0;batch-10;time.time_ns-1623250530319063022
START;backward_path;epoch-0;batch-10;time.time_ns-1623250530319068563
STOP;backward_path;epoch-0;batch-10;time.time_ns-1623250530371495707
START;load_data;epoch-0;batch-11;time.time_ns-1623250530371500887
STOP;batch-time;epoch-0;batch-10;time.time_ns-1623250530371502079
START;batch-time;epoch-0;batch-11;time.time_ns-1623250530371503201
STOP;load_data;epoch-0;batch-11;time.time_ns-1623250530889865463
START;to_device;epoch-0;batch-11;time.time_ns-1623250530889882044
STOP;to_device;epoch-0;batch-11;time.time_ns-1623250530893640526
START;forward_path;epoch-0;batch-11;time.time_ns-1623250530893642880
STOP;forward_path;epoch-0;batch-11;time.time_ns-1623250530916489010
START;backward_path;epoch-0;batch-11;time.time_ns-1623250530916492797
STOP;backward_path;epoch-0;batch-11;time.time_ns-1623250530968752295
START;load_data;epoch-0;batch-12;time.time_ns-1623250530968757184
STOP;batch-time;epoch-0;batch-11;time.time_ns-1623250530968758376
START;batch-time;epoch-0;batch-12;time.time_ns-1623250530968759408
STOP;load_data;epoch-0;batch-12;time.time_ns-1623250531482709521
START;to_device;epoch-0;batch-12;time.time_ns-1623250531482721814
STOP;to_device;epoch-0;batch-12;time.time_ns-1623250531485999867
START;forward_path;epoch-0;batch-12;time.time_ns-1623250531486003123
STOP;forward_path;epoch-0;batch-12;time.time_ns-1623250531509043090
START;backward_path;epoch-0;batch-12;time.time_ns-1623250531509046847
STOP;backward_path;epoch-0;batch-12;time.time_ns-1623250531561077211
START;load_data;epoch-0;batch-13;time.time_ns-1623250531561082550
STOP;batch-time;epoch-0;batch-12;time.time_ns-1623250531561083873
START;batch-time;epoch-0;batch-13;time.time_ns-1623250531561084895
STOP;load_data;epoch-0;batch-13;time.time_ns-1623250532079295048
START;to_device;epoch-0;batch-13;time.time_ns-1623250532079306831
STOP;to_device;epoch-0;batch-13;time.time_ns-1623250532082738264
START;forward_path;epoch-0;batch-13;time.time_ns-1623250532082740468
STOP;forward_path;epoch-0;batch-13;time.time_ns-1623250532105831882
START;backward_path;epoch-0;batch-13;time.time_ns-1623250532105835780
STOP;backward_path;epoch-0;batch-13;time.time_ns-1623250532157862095
START;load_data;epoch-0;batch-14;time.time_ns-1623250532157867396
STOP;batch-time;epoch-0;batch-13;time.time_ns-1623250532157869830
START;batch-time;epoch-0;batch-14;time.time_ns-1623250532157870852
