Given args
Namespace(coco_annotations='/scratch/nils.strassenburg/custom-coco/coco_meta.json', coco_root='/scratch/nils.strassenburg/custom-coco', deterministic=True, model='resnet152', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1619338090598783982
START;load_data;epoch-0;batch-0;time.time_ns-1619338090599945149
START;batch-time;epoch-0;batch-0;time.time_ns-1619338090599947624
STOP;load_data;epoch-0;batch-0;time.time_ns-1619338091150164025
START;to_device;epoch-0;batch-0;time.time_ns-1619338091150181127
STOP;to_device;epoch-0;batch-0;time.time_ns-1619338091153998909
START;forward_path;epoch-0;batch-0;time.time_ns-1619338091154003037
STOP;forward_path;epoch-0;batch-0;time.time_ns-1619338091956974617
START;backward_path;epoch-0;batch-0;time.time_ns-1619338091956984947
STOP;backward_path;epoch-0;batch-0;time.time_ns-1619338092252933767
START;load_data;epoch-0;batch-1;time.time_ns-1619338092252946040
STOP;batch-time;epoch-0;batch-0;time.time_ns-1619338092252947382
START;batch-time;epoch-0;batch-1;time.time_ns-1619338092252948364
STOP;load_data;epoch-0;batch-1;time.time_ns-1619338092766730411
START;to_device;epoch-0;batch-1;time.time_ns-1619338092766749277
STOP;to_device;epoch-0;batch-1;time.time_ns-1619338092770112710
START;forward_path;epoch-0;batch-1;time.time_ns-1619338092770115305
STOP;forward_path;epoch-0;batch-1;time.time_ns-1619338092834581536
START;backward_path;epoch-0;batch-1;time.time_ns-1619338092834585894
STOP;backward_path;epoch-0;batch-1;time.time_ns-1619338093170788763
START;load_data;epoch-0;batch-2;time.time_ns-1619338093170794023
STOP;batch-time;epoch-0;batch-1;time.time_ns-1619338093170795285
START;batch-time;epoch-0;batch-2;time.time_ns-1619338093170796338
STOP;load_data;epoch-0;batch-2;time.time_ns-1619338093704967405
START;to_device;epoch-0;batch-2;time.time_ns-1619338093704979618
STOP;to_device;epoch-0;batch-2;time.time_ns-1619338093708687642
START;forward_path;epoch-0;batch-2;time.time_ns-1619338093708690989
STOP;forward_path;epoch-0;batch-2;time.time_ns-1619338093772976137
START;backward_path;epoch-0;batch-2;time.time_ns-1619338093772980285
STOP;backward_path;epoch-0;batch-2;time.time_ns-1619338094109411676
START;load_data;epoch-0;batch-3;time.time_ns-1619338094109416275
STOP;batch-time;epoch-0;batch-2;time.time_ns-1619338094109417487
START;batch-time;epoch-0;batch-3;time.time_ns-1619338094109418640
STOP;load_data;epoch-0;batch-3;time.time_ns-1619338094634186389
START;to_device;epoch-0;batch-3;time.time_ns-1619338094634197910
STOP;to_device;epoch-0;batch-3;time.time_ns-1619338094637726706
START;forward_path;epoch-0;batch-3;time.time_ns-1619338094637729020
STOP;forward_path;epoch-0;batch-3;time.time_ns-1619338094702236921
START;backward_path;epoch-0;batch-3;time.time_ns-1619338094702240828
STOP;backward_path;epoch-0;batch-3;time.time_ns-1619338095038219392
START;load_data;epoch-0;batch-4;time.time_ns-1619338095038224642
STOP;batch-time;epoch-0;batch-3;time.time_ns-1619338095038226997
START;batch-time;epoch-0;batch-4;time.time_ns-1619338095038228329
STOP;load_data;epoch-0;batch-4;time.time_ns-1619338095553537665
START;to_device;epoch-0;batch-4;time.time_ns-1619338095553556741
STOP;to_device;epoch-0;batch-4;time.time_ns-1619338095556811228
START;forward_path;epoch-0;batch-4;time.time_ns-1619338095556813883
STOP;forward_path;epoch-0;batch-4;time.time_ns-1619338095625654249
START;backward_path;epoch-0;batch-4;time.time_ns-1619338095625663377
STOP;backward_path;epoch-0;batch-4;time.time_ns-1619338095958078731
START;load_data;epoch-0;batch-5;time.time_ns-1619338095958324305
STOP;batch-time;epoch-0;batch-4;time.time_ns-1619338095958326279
START;batch-time;epoch-0;batch-5;time.time_ns-1619338095958327621
STOP;load_data;epoch-0;batch-5;time.time_ns-1619338096472744109
START;to_device;epoch-0;batch-5;time.time_ns-1619338096472762954
STOP;to_device;epoch-0;batch-5;time.time_ns-1619338096476202661
START;forward_path;epoch-0;batch-5;time.time_ns-1619338096476205467
STOP;forward_path;epoch-0;batch-5;time.time_ns-1619338096541676770
START;backward_path;epoch-0;batch-5;time.time_ns-1619338096541680857
STOP;backward_path;epoch-0;batch-5;time.time_ns-1619338096877134839
START;load_data;epoch-0;batch-6;time.time_ns-1619338096877499048
STOP;batch-time;epoch-0;batch-5;time.time_ns-1619338096877500761
START;batch-time;epoch-0;batch-6;time.time_ns-1619338096877501783
STOP;load_data;epoch-0;batch-6;time.time_ns-1619338097421963958
START;to_device;epoch-0;batch-6;time.time_ns-1619338097421981752
STOP;to_device;epoch-0;batch-6;time.time_ns-1619338097425217253
START;forward_path;epoch-0;batch-6;time.time_ns-1619338097425219827
STOP;forward_path;epoch-0;batch-6;time.time_ns-1619338097490782754
START;backward_path;epoch-0;batch-6;time.time_ns-1619338097490786962
STOP;backward_path;epoch-0;batch-6;time.time_ns-1619338097826036607
START;load_data;epoch-0;batch-7;time.time_ns-1619338097826041707
STOP;batch-time;epoch-0;batch-6;time.time_ns-1619338097826043059
