Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='resnet18', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
START;epoch;epoch-0;batch-None;time.time_ns-1623236033608177095
START;load_data;epoch-0;batch-0;time.time_ns-1623236033608626626
START;batch-time;epoch-0;batch-0;time.time_ns-1623236033608629251
STOP;load_data;epoch-0;batch-0;time.time_ns-1623236034457346007
START;to_device;epoch-0;batch-0;time.time_ns-1623236034457363550
STOP;to_device;epoch-0;batch-0;time.time_ns-1623236034461376313
START;forward_path;epoch-0;batch-0;time.time_ns-1623236034461380341
STOP;forward_path;epoch-0;batch-0;time.time_ns-1623236035130329260
START;backward_path;epoch-0;batch-0;time.time_ns-1623236035130340051
STOP;backward_path;epoch-0;batch-0;time.time_ns-1623236035170523811
START;load_data;epoch-0;batch-1;time.time_ns-1623236035170531716
STOP;batch-time;epoch-0;batch-0;time.time_ns-1623236035170533049
START;batch-time;epoch-0;batch-1;time.time_ns-1623236035170534080
STOP;load_data;epoch-0;batch-1;time.time_ns-1623236035953720302
START;to_device;epoch-0;batch-1;time.time_ns-1623236035953739208
STOP;to_device;epoch-0;batch-1;time.time_ns-1623236035957097373
START;forward_path;epoch-0;batch-1;time.time_ns-1623236035957099867
STOP;forward_path;epoch-0;batch-1;time.time_ns-1623236035966050335
START;backward_path;epoch-0;batch-1;time.time_ns-1623236035966054022
STOP;backward_path;epoch-0;batch-1;time.time_ns-1623236035988826634
START;load_data;epoch-0;batch-2;time.time_ns-1623236035988832225
STOP;batch-time;epoch-0;batch-1;time.time_ns-1623236035988833467
START;batch-time;epoch-0;batch-2;time.time_ns-1623236035988834599
STOP;load_data;epoch-0;batch-2;time.time_ns-1623236036783678241
START;to_device;epoch-0;batch-2;time.time_ns-1623236036783691646
STOP;to_device;epoch-0;batch-2;time.time_ns-1623236036787058046
START;forward_path;epoch-0;batch-2;time.time_ns-1623236036787060722
STOP;forward_path;epoch-0;batch-2;time.time_ns-1623236036796031236
START;backward_path;epoch-0;batch-2;time.time_ns-1623236036796034793
