Given args
Namespace(coco_annotations='/scratch/nils.strassenburg/custom-coco/coco_meta.json', coco_root='/scratch/nils.strassenburg/custom-coco', deterministic=None, model='mobilenet', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
START;epoch;epoch-0;batch-None;time.time_ns-1619295145470361652
START;load_data;epoch-0;batch-0;time.time_ns-1619295145471033143
START;batch-time;epoch-0;batch-0;time.time_ns-1619295145471035958
STOP;load_data;epoch-0;batch-0;time.time_ns-1619295146018841453
START;to_device;epoch-0;batch-0;time.time_ns-1619295146018859898
STOP;to_device;epoch-0;batch-0;time.time_ns-1619295146022728015
START;forward_path;epoch-0;batch-0;time.time_ns-1619295146022732493
STOP;forward_path;epoch-0;batch-0;time.time_ns-1619295146656473466
START;backward_path;epoch-0;batch-0;time.time_ns-1619295146656482924
STOP;backward_path;epoch-0;batch-0;time.time_ns-1619295146694627614
START;load_data;epoch-0;batch-1;time.time_ns-1619295146694636290
STOP;batch-time;epoch-0;batch-0;time.time_ns-1619295146694637602
START;batch-time;epoch-0;batch-1;time.time_ns-1619295146694638614
STOP;load_data;epoch-0;batch-1;time.time_ns-1619295147232875458
START;to_device;epoch-0;batch-1;time.time_ns-1619295147232892490
STOP;to_device;epoch-0;batch-1;time.time_ns-1619295147236051586
START;forward_path;epoch-0;batch-1;time.time_ns-1619295147236053791
STOP;forward_path;epoch-0;batch-1;time.time_ns-1619295147247142357
START;backward_path;epoch-0;batch-1;time.time_ns-1619295147247146264
STOP;backward_path;epoch-0;batch-1;time.time_ns-1619295147268862846
START;load_data;epoch-0;batch-2;time.time_ns-1619295147268867906
STOP;batch-time;epoch-0;batch-1;time.time_ns-1619295147268875781
START;batch-time;epoch-0;batch-2;time.time_ns-1619295147268876863
STOP;load_data;epoch-0;batch-2;time.time_ns-1619295147776945156
START;to_device;epoch-0;batch-2;time.time_ns-1619295147776956928
STOP;to_device;epoch-0;batch-2;time.time_ns-1619295147780196236
START;forward_path;epoch-0;batch-2;time.time_ns-1619295147780198500
STOP;forward_path;epoch-0;batch-2;time.time_ns-1619295147791016184
START;backward_path;epoch-0;batch-2;time.time_ns-1619295147791020062
STOP;backward_path;epoch-0;batch-2;time.time_ns-1619295147811960465
START;load_data;epoch-0;batch-3;time.time_ns-1619295147811965525
STOP;batch-time;epoch-0;batch-2;time.time_ns-1619295147811966797
START;batch-time;epoch-0;batch-3;time.time_ns-1619295147811967910
STOP;load_data;epoch-0;batch-3;time.time_ns-1619295148342070776
START;to_device;epoch-0;batch-3;time.time_ns-1619295148342091966
STOP;to_device;epoch-0;batch-3;time.time_ns-1619295148345355800
START;forward_path;epoch-0;batch-3;time.time_ns-1619295148345358265
STOP;forward_path;epoch-0;batch-3;time.time_ns-1619295148356961595
START;backward_path;epoch-0;batch-3;time.time_ns-1619295148356965893
STOP;backward_path;epoch-0;batch-3;time.time_ns-1619295148377660041
START;load_data;epoch-0;batch-4;time.time_ns-1619295148377665672
STOP;batch-time;epoch-0;batch-3;time.time_ns-1619295148377667085
START;batch-time;epoch-0;batch-4;time.time_ns-1619295148377669129
STOP;load_data;epoch-0;batch-4;time.time_ns-1619295148895155868
START;to_device;epoch-0;batch-4;time.time_ns-1619295148895184603
STOP;to_device;epoch-0;batch-4;time.time_ns-1619295148898421706
START;forward_path;epoch-0;batch-4;time.time_ns-1619295148898423790
STOP;forward_path;epoch-0;batch-4;time.time_ns-1619295148910012964
START;backward_path;epoch-0;batch-4;time.time_ns-1619295148910016791
STOP;backward_path;epoch-0;batch-4;time.time_ns-1619295148930765593
START;load_data;epoch-0;batch-5;time.time_ns-1619295148930773307
STOP;batch-time;epoch-0;batch-4;time.time_ns-1619295148930875210
START;batch-time;epoch-0;batch-5;time.time_ns-1619295148930876452
STOP;load_data;epoch-0;batch-5;time.time_ns-1619295149453234787
START;to_device;epoch-0;batch-5;time.time_ns-1619295149453257390
STOP;to_device;epoch-0;batch-5;time.time_ns-1619295149456505435
START;forward_path;epoch-0;batch-5;time.time_ns-1619295149456507769
STOP;forward_path;epoch-0;batch-5;time.time_ns-1619295149468147589
START;backward_path;epoch-0;batch-5;time.time_ns-1619295149468151586
STOP;backward_path;epoch-0;batch-5;time.time_ns-1619295149488971482
START;load_data;epoch-0;batch-6;time.time_ns-1619295149488983144
