Given args
Namespace(coco_annotations='/scratch/nils.strassenburg/custom-coco/coco_meta.json', coco_root='/scratch/nils.strassenburg/custom-coco', deterministic=None, model='resnet152', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
START;epoch;epoch-0;batch-None;time.time_ns-1619343794225507297
START;load_data;epoch-0;batch-0;time.time_ns-1619343794226677921
START;batch-time;epoch-0;batch-0;time.time_ns-1619343794226680777
STOP;load_data;epoch-0;batch-0;time.time_ns-1619343794783733128
START;to_device;epoch-0;batch-0;time.time_ns-1619343794783750201
STOP;to_device;epoch-0;batch-0;time.time_ns-1619343794787926521
START;forward_path;epoch-0;batch-0;time.time_ns-1619343794787931470
STOP;forward_path;epoch-0;batch-0;time.time_ns-1619343795543915952
START;backward_path;epoch-0;batch-0;time.time_ns-1619343795543925931
STOP;backward_path;epoch-0;batch-0;time.time_ns-1619343795765126798
START;load_data;epoch-0;batch-1;time.time_ns-1619343795765132639
STOP;batch-time;epoch-0;batch-0;time.time_ns-1619343795765134081
START;batch-time;epoch-0;batch-1;time.time_ns-1619343795765135143
STOP;load_data;epoch-0;batch-1;time.time_ns-1619343796305241088
START;to_device;epoch-0;batch-1;time.time_ns-1619343796305258040
STOP;to_device;epoch-0;batch-1;time.time_ns-1619343796308809338
START;forward_path;epoch-0;batch-1;time.time_ns-1619343796308811853
STOP;forward_path;epoch-0;batch-1;time.time_ns-1619343796348921627
START;backward_path;epoch-0;batch-1;time.time_ns-1619343796348927608
STOP;backward_path;epoch-0;batch-1;time.time_ns-1619343796627817191
START;load_data;epoch-0;batch-2;time.time_ns-1619343796627822591
STOP;batch-time;epoch-0;batch-1;time.time_ns-1619343796627824195
START;batch-time;epoch-0;batch-2;time.time_ns-1619343796627825307
STOP;load_data;epoch-0;batch-2;time.time_ns-1619343797157326361
START;to_device;epoch-0;batch-2;time.time_ns-1619343797157338484
STOP;to_device;epoch-0;batch-2;time.time_ns-1619343797160266262
START;forward_path;epoch-0;batch-2;time.time_ns-1619343797160268547
STOP;forward_path;epoch-0;batch-2;time.time_ns-1619343797197688181
START;backward_path;epoch-0;batch-2;time.time_ns-1619343797197692219
STOP;backward_path;epoch-0;batch-2;time.time_ns-1619343797478726269
START;load_data;epoch-0;batch-3;time.time_ns-1619343797478731278
STOP;batch-time;epoch-0;batch-2;time.time_ns-1619343797478732561
START;batch-time;epoch-0;batch-3;time.time_ns-1619343797478733623
STOP;load_data;epoch-0;batch-3;time.time_ns-1619343797994035217
START;to_device;epoch-0;batch-3;time.time_ns-1619343797994048732
STOP;to_device;epoch-0;batch-3;time.time_ns-1619343797997493258
START;forward_path;epoch-0;batch-3;time.time_ns-1619343797997495382
STOP;forward_path;epoch-0;batch-3;time.time_ns-1619343798034647461
START;backward_path;epoch-0;batch-3;time.time_ns-1619343798034651629
STOP;backward_path;epoch-0;batch-3;time.time_ns-1619343798315852945
START;load_data;epoch-0;batch-4;time.time_ns-1619343798315858275
STOP;batch-time;epoch-0;batch-3;time.time_ns-1619343798315859488
START;batch-time;epoch-0;batch-4;time.time_ns-1619343798315861441
STOP;load_data;epoch-0;batch-4;time.time_ns-1619343798854644975
START;to_device;epoch-0;batch-4;time.time_ns-1619343798854655585
STOP;to_device;epoch-0;batch-4;time.time_ns-1619343798858045648
START;forward_path;epoch-0;batch-4;time.time_ns-1619343798858047902
STOP;forward_path;epoch-0;batch-4;time.time_ns-1619343798895550173
START;backward_path;epoch-0;batch-4;time.time_ns-1619343798895554933
STOP;backward_path;epoch-0;batch-4;time.time_ns-1619343799176709160
